Original,Prijevod,Mjesto
Baio Mitreuich da Bigliane,Bajo Mitrović iz Biljana,Medviđa
Baio Mitrouich da Bigliane con Casa,Bajo Mitrović iz Biljana s kućom,Kruševo
Cogiadin Mitrouich,Kojadin Mitrović,Islam Grčki
D Marco Mitrouich,Don Marko Mitrović,Islam Grčki
Luca Mitrouich,Luka Mitrović,Islam Grčki
Michiel Mitrouich [ili Marouich] q. Marco,Mijo Mitrović [ili Marović] p. Marka,Sukošan I Galovac
Sardar Ilia Mitrouich,Serdar Ilija Mitrović,Žegar
Voin Dimitrouich,Vojin Mitrović,Benkovac
Zorzi Mitrouich q. Zuane detto Bugaria,Jure Mitrović rečeni Bugarija p. Ivana,Škabrnja
Ellia Giancouich q. Zauisa,Ilija Janković p. Zaviše,Gornje Biljane
Ellia Iancouich,Serdar Ilija Janković p. Zaviše,Kolarina
Ellia Iancouich,Ilija Janković,Kožulovac I Lepuri
Ellia Iancouich q. Kaur Ianco,Ilija Janković p. kavaljera Janka,Kruševo
Eredi del K Gianchouich,Nasljednici kavaljera Janković,Veljane
Eredi del q. Kaur Giancho,Nasljednici kavaljera Janka,Zemunik
Kr Giancouich,Kavaljer Janković,Bilišane
Kr Iancouich,Kavaljer Janković,Kašić
Kaur Ianco,Kavaljer Janko,Smoković
Michiel Giancouich da Bigliani Supe,Mihajlo Janković iz Gornjih Biljana,Donje Biljane
Nicolo Giancouich,Nikola Janković,Korlat
Nicolo Giancouich da Biglni Sup,Nikola Janković iz Gornjih Biljana,Nadin
Nicolo Giancouich da Bigliane,Nikola Janković iz Biljana,Islam Grčki
Nicolo Giancouich da Bigliani,Nikola Janković iz Biljana,Kula Atlagić
Nicolo Giancouich da Bigliani Supe,Nikola Janković iz Gornjih Biljana,Donje Biljane
Maria Relta del q Zauich Iansich,Marija udovica Zaviše Janšića,Ervenik
Kaur Ianco,Kavaljer Janko,Smoković
Ellia Iancouich,Serdar Ilija Janković p. Zaviše,Kolarina
Ellia Iancouich,Ilija Janković,Kožulovac I Lepuri
Kr Iancouich,Kavljer Janković,Kašić
Ellia Giancouich q. Kaur Ianco,Ilija Janković p. kavaljera Janka,Kruševo
Maria Relta del q Zauich Iansich,Marija udovica Zaviše Janšića,Ervenik
Mattio Dimitrouich da Zelengrad,Mate Mitrović iz Zelengrada,Gornje Biljane
